id,osm_id_rel,adm_lvl,name_be,name_ru
1,r59065,0,Беларусь,Беларусь
2,r59189,1,Брэсцкая,Брестская
3,r71116,2,Баранавіцкі,Барановичский
18,r59188,2,Брэсцкі,Брестский
30,r71107,2,Бярозаўскі,Берёзовский
42,r71121,2,Ганцавіцкі,Ганцевичский
51,r71105,2,Драгічынскі,Дрогичинский
64,r71099,2,Жабінкаўскі,Жабинковский
72,r71118,2,Іванаўскі,Ивановский
83,r71112,2,Івацэвіцкі,Ивацевичский
100,r71097,2,Камянецкі,Каменецкий
114,r71101,2,Кобрынскі,Кобринский
126,r71124,2,Лунінецкі,Лунинецкий
138,r71117,2,Ляхавіцкі,Ляховичский
147,r71100,2,Маларыцкі,Малоритский
156,r71119,2,Пінскі,Пинский
181,r71094,2,Пружанскі,Пружанский
194,r71125,2,Столінскі,Столинский
217,r59506,1,Віцебская,Витебская
218,r70660,2,Аршанскі,Оршанский
233,r70668,2,Бешанковіцкі,Бешенковичский
241,r70691,2,Браслаўскі,Браславский
251,r70684,2,Верхнядзвінскі,Верхнедвинский
262,r59504,2,Віцебскі,Витебский
278,r70676,2,Гарадоцкі,Городокский
324,r70665,2,Лёзненскі,Лиозненский
289,r70703,2,Глыбоцкі,Глубокский
303,r70716,2,Докшыцкі,Докшицкий
315,r70656,2,Дубровенскі,Дубровенский
331,r70679,2,Лепельскі,Лепельский
341,r70690,2,Мёрскі,Миорский
351,r70707,2,Пастаўскі,Поставский
362,r70671,2,Полацкі,Полоцкий
377,r70680,2,Расонскі,Россонский
384,r70662,2,Сенненскі,Сенненский
393,r70649,2,Талачынскі,Толочинский
401,r70669,2,Ушацкі,Ушачский
409,r70746,2,Чашніцкі,Чашникский
417,r70701,2,Шаркаўшчынскі,Шарковщинский
424,r70677,2,Шумілінскі,Шумилинский
435,r59161,1,Гомельская,Гомельская
436,r59755,2,Акцябрскі,Октябрьский
445,r70801,2,Брагінскі,Брагинский
453,r59175,2,Буда-Кашалёўскі,Буда-Кошелёвский
469,r70795,2,Веткаўскі,Ветковский
481,r1469691,2,Гомельскі,Гомельский
503,r59092,2,Добрушскі,Добрушский
518,r70810,2,Ельскі,Ельский
527,r59167,2,Жлобінскі,Жлобинский
544,r71149,2,Жыткавіцкі,Житковичский
558,r70814,2,Калінкавіцкі,Калинковичский
577,r59149,2,Кармянскі,Кормянский
